game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,2,0,0,15,0,0,,0,,0,
0,1,1,0,0.0,0,2,1,0.0,6,1,117
0,1,2,0,10.997,0,0,1,1.758,20,1,321
0,1,3,0,8.542,0,1,16,2.683,1,1,565
0,2,0,0,15,0,0,,0,,1,
0,1,1,0,0.0,0,2,18,0.0,18,2,584
0,1,2,0,5.969,0,1,2,2.025,9,2,135
0,1,3,0,10.843,0,0,10,1.144,2,2,499
1,2,0,0,15,0,0,,0,,2,
1,0,1,0,8.625,0,1,20,0.698,3,3,321
1,1,0,0,13.862,0,0,4,0.948,9,3,135
1,0,1,0,6.063,0,1,11,0.633,4,3,311
2,2,0,0,15,0,0,,0,,3,
2,1,1,0,5.063,0,1,1,0.666,0,4,565
