game_state,user_action,attempt,caregiver_feedback,react_time,caregiver_assistance,user_react_time,from,elapsed_time,to,timeout,token_id
0,0,0,0,14.062,0,0,6,1.615,1,0,947
0,2,0,0,15,0,0,,0,,0,
0,1,1,0,11.006,0,0,19,3.302,19,1,698
0,1,2,0,1.772,0,2,20,5.761,20,1,135
0,2,3,0,15,0,0,,0,,1,
1,2,0,0,15,0,0,,0,,2,
1,2,1,0,15,0,0,,0,,3,
1,0,2,0,4.265,0,2,18,0.718,3,4,537
1,2,0,0,15,0,0,,0,,4,
1,2,1,0,15,0,0,,0,,5,
1,0,2,0,5.811,0,1,8,0.661,4,6,391
2,2,0,0,15,0,0,,0,,6,
2,0,1,0,8.157,0,1,7,0.83,5,7,373
